"Data Source","World Development Indicators",

"Last Updated Date","2020-10-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Rural population","SP.RUR.TOTL","26685","27297","27693","27934","28108","28278","28462","28639","28811","28988","29163","29358","29565","29773","29923","29996","29971","29871","29750","29698","29764","30007","30402","30836","31160","31264","31084","30691","30326","30312","30876","32115","34119","36551","38981","41152","42968","44481","45789","47060","48409","49850","51322","52771","54068","55142","55952","56536","56980","57402","57891","58227","58503","58811","59109","59362","59576","59750","59897","60019","",
"Afghanistan","AFG","Rural population","SP.RUR.TOTL","8241137","8373138","8512056","8657977","8810646","8970246","9133645","9300654","9475708","9665503","9872695","10095982","10327925","10557926","10772082","10958232","11121482","11259228","11343620","11340121","11220137","10990181","10673561","10312659","9962974","9670307","9430372","9247189","9178456","9365968","9783754","10470848","11392158","12424891","13398640","14194409","14759602","15136305","15416181","15736082","16192155","16816935","17569613","18387486","19163180","19829986","20378030","20836789","21257441","21714081","22257743","22904895","23632788","24404522","25165917","25877997","26530269","27131559","27695286","28244481","",
"Angola","AGO","Rural population","SP.RUR.TOTL","4885711","4934184","4980158","5019278","5043512","5049018","5031680","4998127","4967545","4965496","5009343","5096483","5220353","5372338","5530674","5680449","5816910","5945021","6067247","6189240","6314523","6442576","6570391","6696837","6820226","6939726","7054518","7164149","7266950","7361871","7447422","7523275","7589483","7647465","7697136","7785748","7870569","7952572","8031535","8108446","8183472","8256988","8328556","8400212","8473617","8550785","8712011","8879762","9050985","9223200","9393181","9560379","9724804","9885476","10040932","10192857","10340319","10483867","10625055","10764270","",
"Albania","ALB","Rural population","SP.RUR.TOTL","1114818","1146208","1180553","1214693","1248887","1282417","1315273","1348911","1386348","1424962","1457678","1489206","1522477","1554419","1585958","1618163","1649474","1681437","1711648","1740858","1769877","1798543","1829633","1861315","1893194","1924635","1954134","1985256","2014614","2060783","2089320","2067878","2037549","2007405","1977318","1947385","1917515","1887867","1858316","1828925","1799636","1761589","1723790","1684768","1645111","1604189","1561661","1517619","1473922","1432259","1393502","1358266","1324613","1291587","1258985","1226200","1195854","1167112","1137407","1106598","",
"Andorra","AND","Rural population","SP.RUR.TOTL","5572","5609","5616","5601","5554","5482","5385","5264","5125","4975","4818","4657","4491","4315","4123","3914","3692","3467","3246","3044","2862","2700","2553","2416","2285","2159","2175","2337","2508","2690","2882","3100","3342","3591","3830","4047","4232","4387","4537","4721","4973","5350","5855","6435","7052","7662","8256","8841","9221","9365","9442","9442","9371","9259","9156","9092","9084","9125","9193","9269","",
"Arab World","ARB","Rural population","SP.RUR.TOTL","63400576","64431688","65477725","66521133","67557423","68572508","69660117","70898252","72139770","73364488","74556366","75735639","76871178","78045879","79402522","80940825","82668095","84584509","86607834","88669228","90683691","92644216","94577772","96435526","98195581","99977822","101746872","103614191","105617096","107709816","110446651","112574753","114664118","116867443","119265280","121755531","124158394","126415328","128531582","130621384","132731957","134837870","136973271","139111085","141291864","143402949","145536670","148138437","150318613","152482990","154586981","156913797","159354716","161751073","164114145","166207258","168295267","170355303","172427227","174564024","",
"United Arab Emirates","ARE","Rural population","SP.RUR.TOTL","24491","25821","27751","29915","31861","33384","34382","35190","36891","41027","47372","56049","66857","79714","94425","110757","128203","146289","164520","181598","196663","211832","227533","242658","258458","275910","294714","314651","336168","359011","383038","408623","436034","464748","494050","523616","546090","562642","580141","598842","619416","638911","658637","687747","737591","813859","919686","1047284","1177776","1287206","1360560","1393639","1394185","1373616","1347573","1327003","1313814","1304680","1298061","1290785","",
"Argentina","ARG","Rural population","SP.RUR.TOTL","5404937","5367316","5337550","5305827","5271908","5236547","5198821","5159781","5119955","5081215","5043574","5016635","4993994","4971706","4948089","4922516","4894161","4864372","4833374","4803036","4773933","4728848","4676523","4625159","4573268","4520960","4468234","4414778","4359864","4303671","4245644","4191771","4177083","4160659","4142082","4122262","4100563","4077784","4053893","4028898","4003430","3977685","3952815","3928383","3903086","3877236","3850408","3823185","3795591","3768543","3732551","3717660","3705497","3693179","3679391","3664923","3649822","3634137","3617403","3599141","",
"Armenia","ARM","Rural population","SP.RUR.TOTL","913165","929062","944095","957992","970441","981339","990462","997848","1003798","1008766","1013461","1018082","1021895","1024755","1026287","1030813","1033920","1035804","1036537","1041606","1052366","1062199","1070940","1079262","1088092","1097858","1109406","1121848","1131795","1142635","1152701","1151477","1140330","1123076","1105545","1092064","1084134","1080790","1081015","1082795","1084609","1086502","1085072","1082321","1079119","1075105","1069753","1063397","1057210","1052998","1051948","1054539","1060243","1067354","1074327","1079968","1083966","1086546","1087759","1087883","",
"American Samoa","ASM","Rural population","SP.RUR.TOTL","6799","6873","6999","7163","7332","7496","7644","7786","7907","8016","8104","8176","8232","8271","8297","8308","8303","8289","8287","8321","8380","8411","8482","8583","8688","8788","8878","8958","9020","9058","9021","8819","8588","8340","8083","7825","7566","7305","7040","6772","6599","6732","6857","6964","7044","7088","7093","7062","7015","6974","6957","6969","7003","7049","7092","7123","7136","7136","7126","7109","",
"Antigua and Barbuda","ATG","Rural population","SP.RUR.TOTL","32665","33529","34383","35259","36192","37209","38338","39551","40746","41787","42473","42541","42342","41973","41573","41229","40977","40791","40660","40555","40449","40357","40293","40248","40198","40148","40077","40003","39988","40091","40377","40894","41851","42946","44130","45349","46602","47883","49166","50412","51594","52705","53947","55142","56366","57663","59046","60497","61994","63482","64931","66312","67331","68317","69260","70174","71041","71843","72601","73318","",
"Australia","AUS","Rural population","SP.RUR.TOTL","1898168","1893125","1909068","1915045","1921617","1928216","1941057","1946009","1960830","1982191","2001245","2049221","2066154","2076844","2108402","2112847","2112387","2114608","2117518","2118609","2122700","2134561","2175007","2206835","2236626","2271988","2314338","2354687","2398326","2444309","2485873","2522945","2574389","2622313","2673251","2729233","2789315","2844952","2899644","2958134","3019470","3086667","3100598","3115023","3127194","3144470","3166779","3161213","3199492","3240089","3264665","3283984","3318631","3353116","3380029","3405449","3435109","3467878","3494578","3519551","",
"Austria","AUT","Rural population","SP.RUR.TOTL","2486372","2493385","2505220","2517777","2531075","2544011","2558257","2573835","2583601","2588892","2594215","2602592","2617008","2630789","2634510","2626772","2621379","2621628","2618751","2613535","2612783","2621498","2643375","2659070","2679016","2700321","2722325","2744348","2768641","2801639","2843876","2893427","2946774","2992756","3026042","3052457","3078548","3103950","3129454","3157687","3187562","3222225","3260666","3299328","3342824","3388796","3428840","3463449","3497858","3530644","3562894","3598756","3612504","3617832","3629979","3654565","3677700","3686708","3686762","3682651","",
"Azerbaijan","AZE","Rural population","SP.RUR.TOTL","1843964","1919884","1999615","2081445","2163098","2242847","2319968","2394615","2467071","2537840","2589597","2617851","2643249","2666368","2694803","2729428","2763448","2797066","2830491","2866096","2904561","2943614","2983147","3023504","3062456","3100031","3138706","3178243","3218023","3274303","3311109","3385305","3459796","3535841","3607435","3672969","3734314","3794654","3855372","3896779","3912746","3926875","3939942","3953356","3971421","3995444","4022610","4051232","4119674","4188204","4218775","4252916","4286937","4318074","4345898","4369801","4388966","4400516","4405307","4407153","",
"Burundi","BDI","Rural population","SP.RUR.TOTL","2739819","2792109","2844697","2899417","2958713","3023394","3094557","3171855","3249800","3320841","3380094","3425156","3458971","3488464","3523291","3570424","3632178","3706511","3791098","3881973","3976913","4074399","4175016","4279403","4388523","4502796","4622028","4744613","4867363","4986151","5097880","5205710","5308214","5402452","5485213","5555317","5610936","5655746","5701232","5763498","5852869","5973419","6122062","6293687","6479928","6674406","6876202","7086685","7303903","7526326","7752344","7980596","8210992","8444873","8685033","8932902","9188745","9451342","9719003","9989403","",
"Belgium","BEL","Rural population","SP.RUR.TOTL","690173","683837","675039","665612","657593","649491","639888","629663","618582","607025","594492","582711","572373","561805","551360","540999","530184","510589","491485","473116","455398","440204","430030","420141","410476","401233","392205","383459","375867","368490","361118","354059","347362","340654","333815","326709","319832","313175","306498","300145","294313","289464","285082","280571","276160","272130","268551","265111","261859","258792","255937","254101","250572","246734","242900","239464","235807","231939","228427","224973","",
"Benin","BEN","Rural population","SP.RUR.TOTL","2206089","2222831","2240843","2260144","2280795","2302811","2326102","2350477","2375559","2400941","2426241","2451296","2476003","2500624","2525227","2549963","2574679","2599354","2623501","2653248","2700929","2750110","2800774","2852850","2906198","2960894","3016338","3072822","3131512","3194225","3261662","3334455","3421578","3526419","3631558","3734793","3835056","3933248","4031040","4130741","4234026","4341576","4447564","4547228","4646980","4745992","4843943","4941150","5038213","5136051","5235022","5335151","5436217","5538340","5640687","5743271","5846019","5948785","6051242","6153002","",
"Burkina Faso","BFA","Rural population","SP.RUR.TOTL","4602311","4659836","4717617","4776782","4839102","4905880","4977618","5053908","5134082","5216827","5301410","5387934","5476828","5568724","5664230","5763916","5855684","5941347","6030036","6123379","6222092","6326599","6435915","6548381","6661835","6774747","6913027","7076003","7243579","7416142","7593790","7776737","7964837","8158483","8357843","8563179","8774616","8972391","9157788","9345913","9536621","9730061","9925695","10124203","10325814","10531249","10739876","10974626","11232645","11495273","11761184","12029913","12301333","12574782","12849399","13124769","13400406","13676558","13952879","14229029","",
